blue1,blue2,blue3,blue4,blue5,red1,red2,red3,red4,red5,result,league,atakhans,opp_atakhans,golddiffat25,golddiffat20,golddiffat15,golddiffat10,firstmidtower,firstherald,dragons,opp_dragons,void_grubs,opp_void_grubs
Taliyah,Pantheon,Kai'Sa,Yorick,Rell,Vi,Ahri,Ambessa,Rakan,Xayah,0,LEC,1.0,0.0,-739.0,-1014.0,-1207.0,-1336.0,0.0,0.0,2.0,3.0,3.0,0.0
Varus,Xin Zhao,Aurora,Orianna,Karma,Rumble,Azir,Naafiri,Renata Glasc,Kalista,0,LEC,0.0,1.0,-2432.0,-322.0,-63.0,-355.0,0.0,0.0,3.0,2.0,3.0,0.0
Pantheon,Taliyah,Rumble,Jinx,Nautilus,Xin Zhao,Jayce,Ahri,Xayah,Leona,0,LCKC,0.0,1.0,-5635.0,-3167.0,-479.0,-1001.0,0.0,0.0,0.0,4.0,3.0,0.0
Varus,Gwen,Wukong,Rell,Annie,Viktor,Skarner,Ezreal,Ambessa,Braum,1,LCKC,1.0,0.0,4754.0,2428.0,-322.0,21.0,1.0,0.0,3.0,2.0,0.0,3.0
Miss Fortune,Nidalee,Alistar,Renekton,Corki,Tristana,Ivern,Gragas,Jhin,K'Sante,0,LCKC,1.0,0.0,-3798.0,-2323.0,-1265.0,-1430.0,1.0,1.0,3.0,3.0,2.0,1.0
Naafiri,Ambessa,Ahri,Xayah,Rakan,Gwen,Azir,Xin Zhao,Kalista,Renata Glasc,0,LCKC,1.0,0.0,2349.0,721.0,717.0,146.0,1.0,1.0,4.0,3.0,2.0,1.0
Jayce,Zyra,Corki,Alistar,Jhin,Tristana,Ivern,Sion,Miss Fortune,Nautilus,0,LCKC,0.0,1.0,-1386.0,994.0,-860.0,57.0,0.0,1.0,1.0,3.0,0.0,3.0
Varus,Naafiri,Nautilus,Ahri,Aatrox,Azir,Jhin,Xin Zhao,Renata Glasc,Gnar,1,LEC,0.0,1.0,-3789.0,-1890.0,301.0,-165.0,0.0,1.0,3.0,2.0,0.0,3.0
Azir,Rumble,Xin Zhao,Kai'Sa,Neeko,Jayce,Pantheon,Ahri,Kalista,Shen,1,LCK,1.0,0.0,1141.0,-2140.0,-2522.0,-1732.0,0.0,0.0,2.0,3.0,3.0,0.0
Yone,Sejuani,Elise,Miss Fortune,Aatrox,Sion,Lucian,Milio,Maokai,Tristana,1,LCK,1.0,0.0,3117.0,432.0,3265.0,2356.0,1.0,1.0,4.0,0.0,3.0,0.0
Gwen,Nocturne,Annie,Jinx,Lulu,Poppy,Ryze,Ambessa,Xayah,Blitzcrank,0,LCK,0.0,1.0,-3914.0,-1728.0,-869.0,-311.0,1.0,1.0,1.0,2.0,3.0,0.0
Pantheon,Gnar,Azir,Kai'Sa,Neeko,Gwen,Sejuani,Yone,Miss Fortune,Fiddlesticks,0,LCK,0.0,1.0,1041.0,784.0,104.0,-650.0,0.0,0.0,1.0,6.0,1.0,2.0
Xin Zhao,Sion,Taliyah,Lucian,Braum,Jayce,Annie,Lee Sin,Ezreal,Rell,1,LCK,1.0,0.0,-3299.0,-969.0,-659.0,-968.0,1.0,1.0,4.0,1.0,3.0,0.0
Naafiri,Varus,Alistar,Galio,Camille,Rumble,Ahri,Wukong,Gragas,Xayah,1,LCK,1.0,0.0,2832.0,812.0,182.0,561.0,1.0,1.0,2.0,2.0,1.0,2.0
Pantheon,Azir,Sion,Xayah,Alistar,Taliyah,Xin Zhao,Ambessa,Rakan,Lucian,1,LCKC,1.0,0.0,6520.0,2285.0,206.0,480.0,1.0,0.0,2.0,1.0,2.0,1.0
Jayce,Pantheon,Ahri,Lucian,Nami,Taliyah,Gwen,Varus,Skarner,Karma,0,LCKC,0.0,1.0,-583.0,1551.0,424.0,2155.0,1.0,1.0,1.0,3.0,0.0,3.0
Pantheon,Jayce,Ryze,Xayah,Rakan,Taliyah,Gwen,Naafiri,Lucian,Nautilus,1,LCKC,1.0,0.0,7485.0,4506.0,4334.0,1821.0,1.0,1.0,4.0,0.0,1.0,2.0
Jayce,Sejuani,Yone,Ezreal,Leona,Yorick,Ahri,Wukong,Kai'Sa,Nautilus,1,LCKC,1.0,0.0,3818.0,3988.0,351.0,-38.0,1.0,0.0,4.0,2.0,1.0,2.0
Xin Zhao,Sylas,Kai'Sa,Leona,Aatrox,Viktor,Sejuani,Ambessa,Ezreal,Rell,0,LCKC,1.0,0.0,-4349.0,-2819.0,167.0,-128.0,0.0,0.0,0.0,4.0,3.0,0.0
Rumble,Viktor,Nautilus,Jhin,Lee Sin,Azir,Galio,Ezreal,Rell,Jarvan IV,1,LCKC,1.0,0.0,1729.0,-1912.0,728.0,711.0,1.0,0.0,4.0,0.0,1.0,2.0
Nidalee,Gnar,Corki,Zeri,Alistar,Renekton,Orianna,Lillia,Rakan,Aphelios,1,LCKC,1.0,0.0,6006.0,4271.0,640.0,-186.0,0.0,1.0,3.0,1.0,2.0,1.0
Gwen,Nidalee,Corki,Jhin,Karma,Rumble,Miss Fortune,Ryze,Viego,Blitzcrank,0,LCKC,0.0,1.0,-6073.0,-2966.0,-174.0,-699.0,0.0,0.0,0.0,4.0,2.0,1.0
Gwen,Wukong,Ahri,Jhin,Leona,Taliyah,Pantheon,Kennen,Ezreal,Rell,0,LCK,1.0,0.0,-4199.0,-3693.0,-3798.0,-1410.0,0.0,0.0,0.0,5.0,3.0,0.0
Nidalee,Sion,Corki,Ashe,Braum,Jayce,Viktor,Skarner,Varus,Bard,1,LCK,1.0,0.0,1123.0,1244.0,516.0,501.0,1.0,1.0,5.0,0.0,3.0,0.0
Azir,Sejuani,Ambessa,Lucian,Elise,Kalista,Annie,Yorick,Neeko,Jarvan IV,0,LCK,1.0,0.0,477.0,1350.0,-320.0,-508.0,1.0,1.0,0.0,6.0,1.0,2.0
Gwen,Xin Zhao,Sylas,Jhin,Rell,Viktor,Pantheon,Ambessa,Miss Fortune,Braum,1,LCK,1.0,0.0,-497.0,872.0,1809.0,50.0,1.0,1.0,3.0,3.0,3.0,0.0
Taliyah,Yorick,Wukong,Ashe,Poppy,Ahri,Jayce,Naafiri,Alistar,Ezreal,1,LCK,1.0,0.0,5296.0,2609.0,1726.0,884.0,1.0,1.0,3.0,2.0,2.0,1.0
Azir,Xayah,Rakan,Jax,Talon,Lucian,Nami,Trundle,Zoe,Shen,1,LCK,1.0,0.0,3499.0,1857.0,1292.0,738.0,0.0,1.0,2.0,2.0,0.0,3.0
Xin Zhao,Gwen,Ahri,Jhin,Poppy,Rumble,Miss Fortune,Orianna,Naafiri,Neeko,1,LCKC,1.0,0.0,10297.0,2821.0,-530.0,227.0,1.0,1.0,2.0,1.0,1.0,2.0
Jayce,Sejuani,Viktor,Jhin,Alistar,Pantheon,Ryze,Gwen,Miss Fortune,Rell,1,LCKC,1.0,0.0,5055.0,1935.0,916.0,1277.0,1.0,1.0,3.0,1.0,3.0,0.0
Varus,Viego,Nautilus,Viktor,Sion,Renekton,Lillia,Ezreal,Ryze,Rell,1,LCKC,1.0,0.0,2089.0,916.0,125.0,-53.0,1.0,1.0,4.0,1.0,3.0,0.0
Taliyah,Ambessa,Naafiri,Corki,Leona,Rumble,Ahri,Poppy,Lucian,Braum,0,LCKC,0.0,1.0,-3389.0,-4804.0,-2352.0,-1658.0,0.0,0.0,2.0,3.0,2.0,1.0
Pantheon,Kai'Sa,Annie,Aatrox,Alistar,Xayah,Rakan,Galio,Jax,Zed,1,LCKC,1.0,0.0,3070.0,1553.0,-553.0,-908.0,1.0,1.0,3.0,2.0,0.0,3.0
Naafiri,Ahri,Ambessa,Lucian,Braum,Rumble,Taliyah,Wukong,Ezreal,Neeko,1,LCK,1.0,0.0,2004.0,352.0,-1034.0,-851.0,0.0,1.0,2.0,3.0,0.0,3.0
Gwen,Skarner,Ryze,Xayah,Nautilus,Azir,Pantheon,Jax,Alistar,Zeri,0,LCK,0.0,1.0,-11339.0,-8526.0,-2393.0,-350.0,0.0,0.0,1.0,3.0,3.0,0.0
Rumble,Sejuani,Yone,Lucian,Nami,Pantheon,Taliyah,Ornn,Xayah,Rakan,1,LCP,1.0,0.0,3076.0,2742.0,1138.0,1028.0,1.0,1.0,4.0,1.0,3.0,0.0
Xin Zhao,Ambessa,Taliyah,Zeri,Rakan,Skarner,Gwen,Corki,Xayah,Alistar,0,LCK,0.0,1.0,-11234.0,-3266.0,-1289.0,-1669.0,0.0,0.0,2.0,1.0,1.0,2.0
Naafiri,Ahri,Ezreal,Sion,Pyke,Varus,Wukong,Sylas,Rell,Ambessa,0,LCP,0.0,1.0,-1825.0,-1030.0,646.0,1089.0,0.0,1.0,1.0,4.0,2.0,1.0
Azir,Wukong,Sion,Lucian,Braum,Naafiri,Ahri,Nidalee,Ezreal,Rell,0,LCK,0.0,1.0,-13431.0,-5991.0,-3901.0,-1940.0,0.0,0.0,0.0,3.0,1.0,2.0
Ezreal,Ambessa,Karma,Aurora,Viego,Neeko,Yorick,Kai'Sa,Ahri,Wukong,0,LCP,0.0,1.0,-1578.0,738.0,591.0,539.0,0.0,0.0,0.0,4.0,2.0,1.0
Pantheon,Taliyah,Ashe,Seraphine,Sion,Kalista,Renata Glasc,Ryze,Xin Zhao,Nidalee,1,LCP,1.0,0.0,-2617.0,-394.0,-599.0,174.0,1.0,0.0,3.0,2.0,1.0,2.0
Vi,Xayah,Rakan,Galio,Camille,Nocturne,Senna,Alistar,Aatrox,Malzahar,0,LCP,0.0,1.0,-1225.0,-2625.0,875.0,-771.0,0.0,0.0,1.0,3.0,2.0,1.0
Xin Zhao,Kalista,Renata Glasc,Yorick,Ahri,Pantheon,Ryze,Elise,Jayce,Draven,0,LCK,1.0,0.0,-4440.0,-3677.0,-2312.0,-69.0,0.0,0.0,1.0,3.0,3.0,0.0
Poppy,Gnar,Viktor,Lucian,Braum,Gwen,Varus,Nocturne,Sylas,Shen,1,LCK,1.0,0.0,5315.0,-493.0,-3776.0,-751.0,1.0,1.0,3.0,1.0,3.0,0.0
Rumble,Azir,Miss Fortune,Viego,Leona,Taliyah,Alistar,Aurora,Skarner,Jhin,1,LCK,0.0,1.0,5154.0,4537.0,1768.0,1977.0,0.0,0.0,1.0,1.0,3.0,0.0
Rumble,Wukong,Taliyah,Xayah,Rakan,Xin Zhao,Ambessa,Ahri,Renata Glasc,Kalista,1,LCK,1.0,0.0,5097.0,5606.0,2052.0,443.0,1.0,0.0,4.0,1.0,3.0,0.0
Pantheon,Ahri,Rumble,Xayah,Rakan,Lucian,Xin Zhao,Nami,Ornn,Azir,1,LCP,1.0,0.0,12586.0,8943.0,3153.0,2602.0,1.0,1.0,3.0,0.0,3.0,0.0
Azir,Sion,Jhin,Nocturne,Nautilus,Varus,Annie,Viego,Alistar,Gnar,1,LCK,1.0,0.0,9433.0,5849.0,3846.0,1094.0,1.0,1.0,1.0,2.0,0.0,3.0
Varus,Sejuani,Viktor,Jax,Rell,Nidalee,Corki,Sylas,Leona,Jarvan IV,0,LCP,0.0,1.0,-13604.0,-8253.0,-4785.0,-2105.0,0.0,0.0,0.0,3.0,1.0,2.0
Jayce,Ryze,Trundle,Leona,Caitlyn,Viktor,Pantheon,Ornn,Braum,Miss Fortune,1,LCK,1.0,0.0,6270.0,2249.0,76.0,-21.0,1.0,1.0,3.0,2.0,3.0,0.0
Rumble,Sejuani,Corki,Xayah,Alistar,Taliyah,Pantheon,K'Sante,Rakan,Kai'Sa,1,LCP,1.0,0.0,5660.0,5860.0,2952.0,636.0,1.0,0.0,3.0,1.0,3.0,0.0
Vi,Ahri,Yorick,Ashe,Elise,Wukong,Annie,Nidalee,Renata Glasc,Kalista,0,LCP,0.0,1.0,-2682.0,-3489.0,-2369.0,-1101.0,0.0,0.0,0.0,4.0,2.0,1.0
