blue1,blue2,blue3,blue4,blue5,red1,red2,red3,red4,red5,result,league,atakhans,opp_atakhans,golddiffat25,golddiffat20,golddiffat15,golddiffat10,firstmidtower,firstherald,dragons,opp_dragons,void_grubs,opp_void_grubs
Gwen,Kalista,Neeko,Azir,Naafiri,Xin Zhao,Jayce,Jhin,Alistar,LeBlanc,1,LTA S,1.0,0.0,2922.0,2259.0,423.0,1891.0,1.0,0.0,4.0,3.0,2.0,1.0
Vi,Xayah,Rakan,Rumble,Galio,Wukong,Taliyah,Ezreal,Bard,Aatrox,0,LTA S,1.0,0.0,-3156.0,-659.0,269.0,764.0,0.0,0.0,0.0,5.0,0.0,3.0
Miss Fortune,Rell,Ambessa,Sejuani,Viktor,Skarner,Zeri,Poppy,Renekton,Ahri,1,LTA S,1.0,0.0,4606.0,4782.0,2576.0,936.0,1.0,1.0,3.0,1.0,1.0,2.0
Taliyah,Xin Zhao,Rumble,Jhin,Rell,Pantheon,Ahri,Gwen,Ashe,Alistar,0,LTA S,0.0,1.0,-6917.0,-3410.0,-1877.0,-732.0,0.0,0.0,1.0,4.0,1.0,2.0
Naafiri,Jayce,Annie,Senna,Leona,Miss Fortune,Wukong,Yorick,Galio,Rakan,1,LTA S,1.0,0.0,3858.0,3015.0,3109.0,1386.0,1.0,1.0,1.0,4.0,0.0,3.0
Vi,Taliyah,Ambessa,Ezreal,Alistar,Rumble,Naafiri,Annie,Volibear,Jhin,0,LTA N,0.0,1.0,-8260.0,-2043.0,-1500.0,225.0,0.0,0.0,0.0,3.0,3.0,0.0
Xin Zhao,Lucian,Milio,Ornn,Ahri,Neeko,Pantheon,Kai'Sa,Renekton,Sylas,0,LTA N,0.0,1.0,-12579.0,-7467.0,-2857.0,-1312.0,0.0,0.0,0.0,4.0,1.0,2.0
Varus,Gwen,Sejuani,Neeko,Ahri,Ezreal,Xin Zhao,Jax,Taliyah,Alistar,0,LTA N,1.0,0.0,-875.0,903.0,1283.0,1069.0,0.0,0.0,3.0,2.0,3.0,0.0
Pantheon,Jayce,Viktor,Xayah,Rakan,Rumble,Corki,Maokai,Jhin,Rell,0,LTA N,0.0,1.0,1314.0,3320.0,2092.0,395.0,1.0,1.0,1.0,4.0,3.0,0.0
Renekton,Lillia,Nautilus,Zeri,Annie,K'Sante,Miss Fortune,Braum,Ryze,Olaf,0,LTA N,0.0,1.0,-1154.0,-1721.0,-1179.0,-350.0,0.0,0.0,1.0,4.0,3.0,0.0
Azir,Poppy,Kennen,Jhin,Rell,Gwen,Pantheon,Ahri,Miss Fortune,Neeko,1,LCK,1.0,0.0,445.0,237.0,-589.0,-728.0,1.0,1.0,4.0,1.0,2.0,1.0
