pick1,pick2,pick3,pick4,pick5,result,poke_avg,cc_avg,mobilidade_avg,tipo_predito
Jayce,Jhin,Naafiri,Amumu,Galio,0,0.538,0.4,0.7859999999999999,MAPA
Varus,Ambessa,Lee Sin,Karma,Sett,1,0.518,0.8,0.8320000000000001,FLEX
Vi,Ahri,Senna,Jayce,Nautilus,1,0.588,0.8,0.8059999999999998, POKE
Rumble,Xin Zhao,Sylas,Xayah,Rakan,0,0.53,0.8,0.852,FLEX
Yorick,Jhin,Azir,Rell,Sejuani,1,0.512,0.8,0.7639999999999999, SIEGE
Pantheon,Varus,Rumble,Aurora,Leona,0,0.53,0.6,0.7719999999999999, POKE
Gwen,Nocturne,Varus,Ryze,Shen,0,0.54,0.6,0.7819999999999998, POKE
Ambessa,Naafiri,Aurora,Alistar,Ezreal,1,0.524,0.6,0.828,PEEL
Taliyah,Kalista,Renata Glasc,Skarner,Ambessa,1,0.5359999999999999,0.6,0.7879999999999999, POKE
Nidalee,Vi,Orianna,Ashe,Seraphine,0,0.626,0.8,0.7979999999999998, POKE
Gwen,Lucian,Nami,Taliyah,Poppy,1,0.562,0.6,0.7859999999999999, POKE
Varus,Neeko,Ambessa,Sejuani,Yone,0,0.514,0.6,0.7939999999999999, POKE
Gwen,Ezreal,Karma,Sylas,Volibear,1,0.5559999999999999,0.8,0.82,PEEL
Xayah,Rakan,Ryze,Xin Zhao,Sion,0,0.504,0.8,0.8240000000000001,PEEL
Xin Zhao,Ahri,Jax,Tristana,Taric,1,0.47000000000000003,0.6,0.8460000000000001, SIEGE
Trundle,Yorick,Sylas,Nautilus,Senna,0,0.414,1.0,0.776,SPLIT
Renekton,Lillia,Alistar,Kai'Sa,Galio,0,0.41600000000000004,0.8,0.8320000000000001, SIEGE
Lucian,Ornn,Braum,Nocturne,Ahri,1,0.472,0.6,0.818,PEEL
Taliyah,Nidalee,Wukong,Xayah,Rakan,0,0.578,0.4,0.8460000000000001, SPLIT
Xin Zhao,Azir,Yorick,Senna,Alistar,1,0.528,1.0,0.7979999999999999, POKE
Yone,Sejuani,Ziggs,Rell,Yorick,1,0.406,0.6,0.768,SPLIT
Ahri,Miss Fortune,Leona,Wukong,Gnar,0,0.49799999999999994,0.8,0.8119999999999999,PEEL
Rumble,Pantheon,Taliyah,Kai'Sa,Nautilus,1,0.53,0.4,0.788,MAPA
Gwen,Naafiri,Ahri,Jhin,Leona,0,0.5559999999999999,0.6,0.808, POKE
Varus,Ambessa,Xin Zhao,Ryze,Alistar,1,0.504,0.8,0.806, POKE
Sion,Senna,Yone,Maokai,Karma,0,0.48199999999999993,0.8,0.7859999999999999, PEEL
Yone,Wukong,Senna,Viktor,Alistar,0,0.492,0.8,0.8160000000000001,PEEL
Neeko,Nocturne,Tristana,K'Sante,Sylas,1,0.492,0.6,0.826,PEEL
Rumble,Nocturne,Tristana,Lucian,Rell,0,0.5820000000000001,0.4,0.826, BURST
Jayce,Vi,Akali,Sivir,Nautilus,1,0.524,0.4,0.8019999999999999, BURST
Pantheon,Lucian,Braum,Ryze,Camille,0,0.496,0.6,0.8039999999999999, POKE
Naafiri,Miss Fortune,Sion,Neeko,Hwei,1,0.526,0.6,0.7879999999999999, POKE
Viktor,Trundle,Rell,Jinx,Renekton,0,0.45599999999999996,0.8,0.798, PEEL
Xin Zhao,Orianna,Ambessa,Rakan,Xayah,1,0.5519999999999999,0.8,0.842,FLEX
Vi,Taliyah,Kai'Sa,Alistar,Aatrox,1,0.4779999999999999,0.6,0.8379999999999999,FLEX
Ezreal,Naafiri,Galio,Neeko,Gangplank,0,0.5660000000000001,0.4,0.808, BURST
Rell,Ashe,Ahri,Trundle,Gwen,1,0.544,1.0,0.7859999999999999, POKE
Taliyah,Alistar,Miss Fortune,Xin Zhao,Jayce,0,0.5820000000000001,0.4,0.8020000000000002,MAPA
Yorick,Wukong,Sylas,Jhin,Galio,1,0.438,0.8,0.8039999999999999,PEEL
Viego,Ahri,Renekton,Kai'Sa,Poppy,0,0.48,0.6,0.8460000000000001,FLEX
Pantheon,Miss Fortune,Rell,Gwen,Azir,1,0.5980000000000001,0.6,0.78, POKE
Ezreal,Leona,Ambessa,Maokai,Akali,0,0.43999999999999995,0.6,0.8099999999999999,PEEL
Pantheon,Ornn,Jhin,Fiddlesticks,Orianna,0,0.48200000000000004,0.6,0.7659999999999998, SIEGE
Xin Zhao,Ashe,Braum,Jax,Hwei,1,0.45600000000000007,0.8,0.806,PEEL
Ezreal,Poppy,Udyr,Xin Zhao,Hwei,0,0.446,0.6,0.828,PEEL
Miss Fortune,Rell,Taliyah,Vayne,Viego,1,0.592,0.2,0.808,MAPA
Varus,Vi,Aurora,Aatrox,Rell,0,0.4779999999999999,0.8,0.8039999999999999,PEEL
Hwei,Miss Fortune,Nocturne,Ambessa,Alistar,1,0.5,0.6,0.818,PEEL
Vi,Ahri,K'Sante,Sivir,Lulu,1,0.5199999999999999,0.8,0.8200000000000001,PEEL
Jhin,Xin Zhao,Taliyah,Sion,Alistar,0,0.466,0.6,0.7879999999999999, PEEL
Varus,Pantheon,Ahri,Rumble,Poppy,1,0.536,0.6,0.798, POKE
Ziggs,Naafiri,Annie,Rakan,Viego,0,0.55,0.4,0.8019999999999999, BURST
Vi,Gwen,Miss Fortune,Ahri,Neeko,0,0.62,0.8,0.812,PEEL
Rumble,Varus,Rell,Maokai,Yasuo,1,0.466,0.6,0.776, PEEL
Yone,Aphelios,Gragas,Neeko,Xin Zhao,0,0.502,0.6,0.8039999999999999, POKE
Senna,Gwen,Nautilus,Sylas,Trundle,1,0.484,1.0,0.776, PEEL
Jarvan IV,Mel,Rumble,Nautilus,Senna,1,0.546,1.0,0.766, SIEGE
Ahri,Corki,Yorick,Poppy,Braum,0,0.45,0.8,0.7839999999999999, PEEL
Jayce,Sejuani,Nautilus,Xayah,Viktor,1,0.556,0.6,0.78, POKE
Rumble,Corki,Braum,Wukong,Sylas,0,0.48199999999999993,0.8,0.8019999999999999,PEEL
Xin Zhao,Ambessa,Azir,Aphelios,Nautilus,1,0.534,0.8,0.7919999999999999, POKE
Senna,Trundle,Poppy,Sylas,Warwick,0,0.418,1.0,0.798, PEEL
Varus,Viktor,Rell,Sejuani,Bel'Veth,0,0.462,0.6,0.772, PEEL
Orianna,Xin Zhao,Alistar,Corki,Shen,1,0.45599999999999996,0.8,0.7979999999999998, PEEL
Wukong,Jinx,Braum,Camille,Galio,1,0.438,0.8,0.8139999999999998,PEEL
Leona,K'Sante,Kai'Sa,Hwei,Ivern,0,0.4640000000000001,0.8,0.8020000000000002,PEEL
Rumble,Taliyah,Nautilus,Miss Fortune,Naafiri,0,0.55,0.4,0.78,MAPA
